Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Summary,Option2 Name,Option2 Value,Option2 Summary,Option3 Name,Option3 Value,Option3 Summary,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
p13,P13,<p>Discover timeless elegance with P13 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P13,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P13 - Newds.Co Fine Jewelry,Shop P13 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p14,P14,<p>Discover timeless elegance with P14 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P14,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P14 - Newds.Co Fine Jewelry,Shop P14 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p15,P15,<p>Discover timeless elegance with P15 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P15,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P15 - Newds.Co Fine Jewelry,Shop P15 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p16,P16,<p>Discover timeless elegance with P16 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P16,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P16 - Newds.Co Fine Jewelry,Shop P16 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p17,P17,<p>Discover timeless elegance with P17 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P17,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P17 - Newds.Co Fine Jewelry,Shop P17 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p18,P18,<p>Discover timeless elegance with P18 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P18,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P18 - Newds.Co Fine Jewelry,Shop P18 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p19,P19,<p>Discover timeless elegance with P19 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P19,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P19 - Newds.Co Fine Jewelry,Shop P19 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p20,P20,<p>Discover timeless elegance with P20 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P20,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P20 - Newds.Co Fine Jewelry,Shop P20 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p21,P21,<p>Discover timeless elegance with P21 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P21,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P21 - Newds.Co Fine Jewelry,Shop P21 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p22,P22,<p>Discover timeless elegance with P22 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P22,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P22 - Newds.Co Fine Jewelry,Shop P22 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p23,P23,<p>Discover timeless elegance with P23 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P23,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P23 - Newds.Co Fine Jewelry,Shop P23 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p24,P24,<p>Discover timeless elegance with P24 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P24,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P24 - Newds.Co Fine Jewelry,Shop P24 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p25,P25,<p>Discover timeless elegance with P25 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P25,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P25 - Newds.Co Fine Jewelry,Shop P25 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p26,P26,<p>Discover timeless elegance with P26 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P26,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P26 - Newds.Co Fine Jewelry,Shop P26 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p27,P27,<p>Discover timeless elegance with P27 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P27,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P27 - Newds.Co Fine Jewelry,Shop P27 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p28,P28,<p>Discover timeless elegance with P28 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P28,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P28 - Newds.Co Fine Jewelry,Shop P28 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p29,P29,<p>Discover timeless elegance with P29 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P29,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P29 - Newds.Co Fine Jewelry,Shop P29 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p30,P30,<p>Discover timeless elegance with P30 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P30,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P30 - Newds.Co Fine Jewelry,Shop P30 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p31,P31,<p>Discover timeless elegance with P31 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P31,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P31 - Newds.Co Fine Jewelry,Shop P31 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p32,P32,<p>Discover timeless elegance with P32 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P32,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P32 - Newds.Co Fine Jewelry,Shop P32 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p33,P33,<p>Discover timeless elegance with P33 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P33,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P33 - Newds.Co Fine Jewelry,Shop P33 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p34,P34,<p>Discover timeless elegance with P34 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P34,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P34 - Newds.Co Fine Jewelry,Shop P34 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p35,P35,<p>Discover timeless elegance with P35 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P35,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P35 - Newds.Co Fine Jewelry,Shop P35 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p36,P36,<p>Discover timeless elegance with P36 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P36,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P36 - Newds.Co Fine Jewelry,Shop P36 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p37,P37,<p>Discover timeless elegance with P37 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P37,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P37 - Newds.Co Fine Jewelry,Shop P37 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p38,P38,<p>Discover timeless elegance with P38 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P38,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P38 - Newds.Co Fine Jewelry,Shop P38 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p39,P39,<p>Discover timeless elegance with P39 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P39,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P39 - Newds.Co Fine Jewelry,Shop P39 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p40,P40,<p>Discover timeless elegance with P40 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P40,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P40 - Newds.Co Fine Jewelry,Shop P40 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p41,P41,<p>Discover timeless elegance with P41 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P41,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P41 - Newds.Co Fine Jewelry,Shop P41 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p42,P42,<p>Discover timeless elegance with P42 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P42,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P42 - Newds.Co Fine Jewelry,Shop P42 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p43,P43,<p>Discover timeless elegance with P43 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P43,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P43 - Newds.Co Fine Jewelry,Shop P43 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p44,P44,<p>Discover timeless elegance with P44 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P44,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P44 - Newds.Co Fine Jewelry,Shop P44 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p45,P45,<p>Discover timeless elegance with P45 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P45,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P45 - Newds.Co Fine Jewelry,Shop P45 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p46,P46,<p>Discover timeless elegance with P46 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P46,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P46 - Newds.Co Fine Jewelry,Shop P46 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p47,P47,<p>Discover timeless elegance with P47 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P47,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P47 - Newds.Co Fine Jewelry,Shop P47 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p48,P48,<p>Discover timeless elegance with P48 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P48,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P48 - Newds.Co Fine Jewelry,Shop P48 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p49,P49,<p>Discover timeless elegance with P49 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P49,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P49 - Newds.Co Fine Jewelry,Shop P49 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p50,P50,<p>Discover timeless elegance with P50 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P50,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P50 - Newds.Co Fine Jewelry,Shop P50 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p51,P51,<p>Discover timeless elegance with P51 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P51,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P51 - Newds.Co Fine Jewelry,Shop P51 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p52,P52,<p>Discover timeless elegance with P52 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P52,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P52 - Newds.Co Fine Jewelry,Shop P52 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p53,P53,<p>Discover timeless elegance with P53 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P53,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P53 - Newds.Co Fine Jewelry,Shop P53 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p54,P54,<p>Discover timeless elegance with P54 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P54,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P54 - Newds.Co Fine Jewelry,Shop P54 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p55,P55,<p>Discover timeless elegance with P55 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P55,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P55 - Newds.Co Fine Jewelry,Shop P55 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p56,P56,<p>Discover timeless elegance with P56 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P56,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P56 - Newds.Co Fine Jewelry,Shop P56 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p57,P57,<p>Discover timeless elegance with P57 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P57,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P57 - Newds.Co Fine Jewelry,Shop P57 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
p58,P58,<p>Discover timeless elegance with P58 by Newds.Co. Crafted with fine detail and premium finish.</p>,Newds.Co,Apparel & Accessories > Jewelry,Jewelry,"Jewelry, New, Best Seller",TRUE,Title,Default Title,,,,,,,,NW-P58,100,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,FALSE,P58 - Newds.Co Fine Jewelry,Shop P58 handcrafted fine jewelry at Newds.Co. Free shipping available.,,,,,,,g,,15.00,,,active
